epoch,loss,train classification accuracy,Classified as target,Average similarity with target,Average similarity with correct caption,test_loss,test classification accuracy,Test-Classified as target,Test-Average similarity with target,Test-Average similarity with correct caption,norm v
0,0.206657539,0.96828125,1.2,0.20487334,0.303870813,0.341334492,0.94921875,0.0234375,0.21686475,0.30971325,0.17927667
1,0.206135498,0.96265625,1.2,0.21766876,0.311331977,,,,,,
2,0.206069385,0.9671875,1.52,0.21928932,0.312236946,,,,,,
3,0.206030173,0.97046875,1.18,0.22025031,0.313396589,,,,,,
4,0.20598978,0.9646875,1.34,0.2212403,0.313386018,,,,,,
5,0.205980107,0.9665625,1.16,0.2214775,0.314164065,,,,,,
6,0.205986944,0.9690625,1.48,0.22130994,0.313465611,,,,,,
7,0.205949685,0.96765625,1.12,0.22222309,0.313872376,,,,,,
8,0.205941231,0.9678125,1.54,0.22243027,0.314288983,,,,,,
9,0.205950924,0.97109375,1.36,0.22219276,0.314162332,,,,,,
10,0.205922653,0.964375,1.32,0.22288582,0.314446145,,,,,,
11,0.205923654,0.9696875,1.5,0.22286114,0.31429593,,,,,,
12,0.205926907,0.9678125,1.44,0.22278136,0.314545271,,,,,,
13,0.205913647,0.966875,1.24,0.22310647,0.314922022,,,,,,
14,0.205911767,0.96703125,1.14,0.22315255,0.314719225,,,,,,
15,0.205917496,0.96859375,1,0.22301205,0.314422384,,,,,,
16,0.205917959,0.96671875,1.24,0.22300072,0.314640071,,,,,,
17,0.205912245,0.9671875,1.08,0.22314085,0.314989701,,,,,,
18,0.205881951,0.96859375,1.32,0.22388327,0.314994121,,,,,,
19,0.20590235,0.96828125,1.06,0.22338341,0.31481671,,,,,,
20,0.205889188,0.96765625,1.3,0.22370592,0.314967908,,,,,,
21,0.205885109,0.9690625,1.28,0.22380604,0.314907978,,,,,,
22,0.205888176,0.9696875,1.38,0.22373071,0.315067084,,,,,,
23,0.205890492,0.9690625,1.2,0.22367403,0.315093334,,,,,,
24,0.205877414,0.96953125,1.1,0.22399452,0.315279147,,,,,,
25,0.205860262,0.96484375,1.26,0.22441496,0.315275977,0.343004525,0.95703125,0.015625,0.22319719,0.315357122,0.6546103
26,0.205853337,0.96875,1.24,0.2245847,0.315524858,,,,,,
27,0.205864103,0.9690625,1.4,0.22432077,0.315201547,,,,,,
28,0.2058609,0.96765625,1,0.22439928,0.315427789,,,,,,
29,0.205850365,0.968125,1.38,0.22465748,0.315326569,,,,,,
30,0.205852576,0.9665625,1.32,0.22460337,0.315146582,,,,,,
31,0.205833681,0.96609375,1.68,0.22506636,0.315177873,,,,,,
32,0.205837599,0.9684375,1.36,0.22497042,0.316113222,,,,,,
33,0.20583458,0.96796875,1.2,0.22504443,0.31597671,,,,,,
34,0.205835335,0.96921875,1.26,0.2250259,0.315937608,,,,,,
35,0.205830844,0.96796875,1.04,0.22513592,0.315755624,,,,,,
36,0.20581206,0.95953125,1.28,0.22559638,0.31565565,,,,,,
37,0.205809779,0.9690625,1.28,0.22565228,0.316024312,,,,,,
38,0.205819786,0.9675,1.74,0.22540706,0.31532091,,,,,,
39,0.205808234,0.9696875,1.4,0.22569022,0.316139258,,,,,,
40,0.205815824,0.965625,1.3,0.22550406,0.316058986,,,,,,
41,0.205821713,0.9690625,1.12,0.22535983,0.31553606,,,,,,
42,0.205798959,0.96546875,1.22,0.22591743,0.315999002,,,,,,
43,0.205804887,0.9684375,1.46,0.22577229,0.316013002,,,,,,
44,0.205805458,0.96828125,1.32,0.2257582,0.315925634,,,,,,
45,0.205801711,0.96390625,1.46,0.22585005,0.316098424,,,,,,
46,0.205799834,0.970625,1.3,0.22589602,0.316572092,,,,,,
47,0.205794601,0.9665625,1.22,0.22602423,0.316135866,,,,,,
48,0.20578311,0.9659375,1.48,0.22630589,0.316337171,,,,,,
49,0.205786566,0.9621875,1.08,0.22622128,0.316116701,,,,,,
50,0.205807131,0.96546875,1.02,0.22571722,0.31626143,0.344495863,0.953125,0.01953125,0.22628002,0.31646607,0.9389997
51,0.20577406,0.9684375,1.24,0.22652784,0.316446419,,,,,,
52,0.205770589,0.96484375,1.4,0.22661282,0.31641088,,,,,,
53,0.20577637,0.9671875,1.26,0.22647125,0.316394855,,,,,,
54,0.205758461,0.9665625,1.5,0.22691016,0.316859163,,,,,,
55,0.205764867,0.96125,1.28,0.2267531,0.316636617,,,,,,
56,0.205768179,0.965625,1.38,0.22667192,0.31661182,,,,,,
57,0.20575248,0.96234375,1.34,0.22705671,0.316811573,,,,,,
58,0.205768649,0.96296875,1.3,0.2266605,0.31647033,,,,,,
59,0.205755885,0.96046875,1.4,0.22697319,0.316986796,,,,,,
60,0.205741216,0.96578125,1.34,0.2273328,0.317194183,,,,,,
61,0.205747634,0.9675,1.24,0.22717549,0.317081169,,,,,,
62,0.20574614,0.96453125,1.08,0.22721216,0.316627108,,,,,,
63,0.20575886,0.9671875,1.16,0.22690035,0.317186579,,,,,,
